date,price,log_return
2019-05-16,26.56,-0.014947961435873403
2019-05-17,25.96,-0.022849432772343636
2019-05-20,26.16,0.007674634753108478
2019-05-21,26.35,0.007236748398373738
2019-05-22,27.34,0.03688255630843207
2019-05-23,27.03,-0.011403471007447319
2019-05-24,26.44,-0.02206934530487059
2019-05-27,26.61,0.0064090700061121275
2019-05-28,26.46,-0.0056529263027882415
2019-05-29,26.51,0.0018878616141244642
2019-05-30,26.28,-0.00871382668452414
2019-05-31,25.45,-0.03209245061987831
2019-06-03,24.74,-0.02829437603218965
2019-06-04,25.58,0.03338942918635457
2019-06-05,25.28,-0.011797226872039879
2019-06-06,25.09,-0.0075442089003257
2019-06-07,25.66,0.022463998809159502
2019-06-10,26.36,0.026914350446816115
2019-06-11,26.11,-0.009529326923269021
2019-06-12,25.92,-0.00730351122696371
2019-06-13,26.05,0.005002896715302185
2019-06-14,26.15,0.0038314223115558654
2019-06-17,26.12,-0.0011478861027014453
2019-06-18,26.22,0.0038211739273230627
2019-06-19,26.07,-0.005737250390143167
2019-06-20,26.2,0.004974182821640749
2019-06-21,26.42,0.008361888327128142
2019-06-24,27.53,0.04115502006033678
2019-06-25,27.64,0.0039876797449531765
2019-06-26,28.65,0.03588944426127938
2019-06-27,28.15,-0.017606088575049306
2019-06-28,27.5,-0.023361349913173513
2019-07-01,28.17,0.02407157721575537
2019-07-02,27.98,-0.006767612650945942
2019-07-03,27.78,-0.007173631911137512
2019-07-04,27.28,-0.01816250435093636
2019-07-05,27.67,0.01419496082357341
2019-07-08,28.16,0.01755373749100686
2019-07-09,27.9,-0.009275842462521666
2019-07-10,29.65,0.06083543661641455
2019-07-11,29.71,0.0020215640307816862
2019-07-12,30.26,0.018343018885693674
2019-07-15,30.56,0.00986525593810983
2019-07-16,29.98,-0.019161471623867943
2019-07-17,29.98,0.0
2019-07-18,29.28,-0.02362580358134103
2019-07-19,30.38,0.036879808074516074
2019-07-22,30.5,0.003942186445739182
2019-07-23,31.33,0.026849421350734204
2019-07-24,30.7,-0.020313450370948782
2019-07-25,30.51,-0.006208155864573239
2019-07-26,29.75,-0.025225366736939314
2019-07-29,29.85,0.0033557078469721446
2019-07-30,29.29,-0.01893867899896895
2019-07-31,29.38,0.003068009906089131
2019-08-01,30.83,0.04817407115232797
2019-08-02,30.61,-0.007161488940738092
2019-08-05,30.04,-0.018796926061387165
2019-08-06,29.7,-0.01138278108727997
2019-08-07,29.56,-0.004724949728653005
2019-08-08,29.78,0.007414931175862005
2019-08-09,29.36,-0.014203823509548297
2019-08-12,27.91,-0.050648156198083605
2019-08-13,28.3,0.013876757100960813
2019-08-14,28.12,-0.006380737706727757
2019-08-15,27.2,-0.03326409364051264
2019-08-16,27.15,-0.0018399269220070735
2019-08-19,27.73,0.021137813247742443
2019-08-20,27.42,-0.01124218549351852
2019-08-21,27.17,-0.009159250695911947
2019-08-22,26.81,-0.013338471190388557
2019-08-23,26.24,-0.021489988171979668
2019-08-26,26.97,0.02744017307575053
2019-08-27,26.53,-0.01644896900199022
2019-08-28,27.11,0.021626495360925535
2019-08-29,27.55,0.01609987208834962
2019-08-30,27.37,-0.006555012546335615
2019-09-02,26.22,-0.0429250447170344
2019-09-03,26.21,-0.00038146100023839224
2019-09-04,26.47,0.009870998903694694
2019-09-05,26.48,0.00037771482979742643
