date,price,log_return,regime
2008-10-28,17.63,-0.0135213327615577,1
2008-10-29,18.45,0.0454623740767572,1
2008-10-30,18.12,-0.0180480698717029,1
2008-10-31,17.94,-0.0099834439841832,1
2008-11-03,18.25,0.0171322233978505,1
2008-11-04,18.94,0.0371110077294316,1
2008-11-05,18.54,-0.0213455276202232,1
2008-11-06,18.2,-0.0185089660549593,1
2008-11-07,18.69,0.026567027384722,1
2008-11-10,18.51,-0.0096774948820654,1
2008-11-11,17.94,-0.0312782699547562,1
2008-11-12,17.95,0.0005572583036377,1
2008-11-13,17.95,0.0,1
2008-11-14,17.43,-0.0293972554023582,1
2008-11-17,17.03,-0.0232163648573324,1
2008-11-18,16.55,-0.0285903928515249,1
2008-11-19,16.33,-0.0133821948406982,1
2008-11-20,14.92,-0.0903013122067588,1
2008-11-21,15.03,0.0073456089892682,1
2008-11-24,15.86,0.0537520124418184,1
2008-11-25,15.76,-0.0063251317769688,1
2008-11-26,15.63,-0.0082829399963477,1
2008-11-27,16.31,0.0425862721995371,1
2008-11-28,15.52,-0.0496489018778496,1
2008-12-01,15.53,0.0006441224055229,1
2008-12-02,15.36,-0.0110069094410696,1
2008-12-03,15.22,-0.0091563752859862,1
2008-12-04,14.82,-0.0266327325655986,1
2008-12-05,13.72,-0.0771229975702016,1
2008-12-08,14.45,0.0518397922607016,1
2008-12-09,14.28,-0.0118344576470028,1
2008-12-10,14.37,0.0062827431794953,1
2008-12-11,14.86,0.0335303391986796,1
2008-12-12,14.88,0.0013449901153328,1
2008-12-15,15.3,0.0278347989934437,1
2008-12-16,15.47,0.0110498361865851,1
2008-12-17,15.47,0.0,1
2008-12-18,15.26,-0.013667638728664,1
2008-12-19,15.29,0.0019639940846598,1
2008-12-22,15.67,0.0245490364269587,1
2008-12-23,15.36,-0.0199813286484036,1
2008-12-24,15.28,-0.0052219439811516,1
2008-12-26,15.28,0.0,1
2008-12-29,15.36,0.0052219439811516,1
2008-12-30,15.57,0.0135792581263811,1
2008-12-31,15.45,-0.0077369825021524,1
2009-01-02,15.1,-0.0229142595228757,1
2009-01-05,14.93,-0.0113221322697798,1
2009-01-06,15.27,0.0225175076794421,1
2009-01-07,15.02,-0.0165074728945526,1
2009-01-08,14.33,-0.0470274044959078,1
2009-01-09,14.01,-0.0225838814911649,1
2009-01-12,13.51,-0.0363412083768084,1
2009-01-13,13.45,-0.004451045924259,1
2009-01-14,12.98,-0.0355693947719042,1
2009-01-15,12.93,-0.0038595184921779,1
2009-01-16,12.32,-0.0483262346783921,1
2009-01-19,11.34,-0.0828876598057677,1
2009-01-20,11.24,-0.0088574538340613,1
2009-01-21,11.22,-0.0017809443709944,1
2009-01-22,11.47,0.0220370310467288,1
2009-01-23,11.4,-0.0061215757408294,1
2009-01-26,11.78,0.0327898228229908,1
2009-01-27,11.63,-0.0128152116928674,1
2009-01-28,11.44,-0.0164719805789212,1
2009-01-29,11.61,0.0147508097581483,1
2009-01-30,11.57,-0.0034512545042151,1
2009-02-02,11.01,-0.0496115904709966,1
2009-02-03,10.36,-0.0608517139032516,1
2009-02-04,10.18,-0.0175272257089602,1
2009-02-05,9.97,-0.0208444271486296,1
2009-02-06,9.87,-0.0100807305283567,1
2009-02-09,9.91,0.0040444948965063,1
2009-02-10,9.17,-0.0776070620735231,2
2009-02-11,8.35,-0.0936757474056091,2
2009-02-12,8.06,-0.035347982344227,2
2009-02-13,8.45,0.0472528848505451,2
2009-02-16,8.27,-0.0215319323334823,2
2009-02-17,8.48,0.0250759407682119,2
2009-02-18,9.52,0.1156843989994622,2
2009-02-19,10.6,0.1074591523147474,2
2009-02-20,9.76,-0.0825616006930203,2
2009-02-23,9.44,-0.033336420267592,2
2009-02-24,9.19,-0.0268400437898135,2
2009-02-25,9.57,0.0405172690972674,2
2009-02-26,10.43,0.0860530635478178,2
2009-02-27,9.96,-0.046109197416174,2
2009-03-02,9.95,-0.0010045204260054,2
2009-03-03,10.8,0.0819735829596726,2
2009-03-04,11.47,0.0601887970111052,2
2009-03-05,11.11,-0.0318893274897407,2
2009-03-06,10.65,-0.0422857114961043,2
2009-03-09,11.49,0.0759171997052301,2
2009-03-10,11.78,0.0249260863627762,2
2009-03-11,11.49,-0.0249260863627762,2
2009-03-12,11.6,0.0095280062516547,2
2009-03-13,12.05,0.0380595618243448,2
2009-03-16,12.28,0.0189072627823323,2
2009-03-17,12.65,0.0296852924545332,2
2009-03-18,11.97,-0.0552536956036475,2
2009-03-19,11.37,-0.0514252118074374,2
2009-03-20,10.96,-0.036726026242575,2
2009-03-23,11.62,0.0584754699038958,2
2009-03-24,10.96,-0.0584754699038958,2
2009-03-25,10.3,-0.0621083862842795,2
2009-03-26,10.62,0.0305951205782029,1
2009-03-27,10.9,0.0260237734213051,1
2009-03-30,10.89,-0.0009178522902288,1
2009-03-31,11.45,0.0501447930553795,1
2009-04-01,11.9,0.038548670117235,1
2009-04-02,11.79,-0.0092866855682043,1
2009-04-03,12.18,0.0325435477324713,1
2009-04-06,12.38,0.0162870049746994,1
2009-04-07,12.12,-0.021225286615282,1
2009-04-08,12.56,0.0356601803988843,1
2009-04-09,13.06,0.0390369628082325,1
2009-04-13,13.06,0.0,1
2009-04-14,13.9,0.0623347162883609,1
2009-04-15,13.55,-0.0255022928109358,1
2009-04-16,13.67,0.008817103410148,1
2009-04-17,13.6,-0.0051338579938517,1
2009-04-20,12.87,-0.0551707711339712,1
2009-04-21,12.95,0.0061967665375113,1
2009-04-22,13.32,0.0281708769666964,1
2009-04-23,13.2,-0.0090498355199177,1
2009-04-24,13.5,0.0224728558520586,1
2009-04-27,13.29,-0.0156778127192298,1
2009-04-28,13.17,-0.0090703569699641,1
2009-04-29,13.46,0.0217808084613921,1
2009-04-30,13.92,0.0336043306896916,1
2009-05-01,14.15,0.0163879691829733,1
2009-05-04,14.51,0.0251234428068496,1
2009-05-05,13.9,-0.0429492267594504,1
2009-05-06,14.27,0.026270591352099,1
2009-05-07,14.58,0.0214912950917671,1
2009-05-08,15.23,0.0436164403265579,1
2009-05-11,15.63,0.0259249775263148,1
2009-05-12,14.87,-0.0498463839613214,1
2009-05-13,14.45,-0.0286513459136226,1
2009-05-14,14.16,-0.0202733262928673,1
2009-05-15,13.81,-0.025028120844373,1
2009-05-18,14.09,0.0200723584893882,1
2009-05-19,14.34,0.0175875092608852,1
2009-05-20,14.96,0.042327137374857,1
2009-05-21,14.75,-0.0141368897605023,1
2009-05-22,14.89,0.0094467639100885,1
2009-05-25,14.89,0.0,1
2009-05-26,14.74,-0.010124959934727,1
2009-05-27,14.95,0.0141464130755051,1
2009-05-28,14.92,-0.0020087050610806,1
2009-05-29,14.65,-0.0182622593125385,1
2009-06-01,14.93,0.0189322760880226,1
2009-06-02,14.71,-0.0148450769377528,1
2009-06-03,14.1,-0.0423527372292236,1
2009-06-04,14.01,-0.0064034370352068,1
2009-06-05,13.89,-0.0086022035826633,1
2009-06-08,13.13,-0.0562694684515472,1
2009-06-09,12.99,-0.0107198576321967,1
2009-06-10,13.12,0.0099579528334348,1
2009-06-11,13.22,0.0075930509075972,1
2009-06-12,12.85,-0.0283870230823115,1
2009-06-15,12.19,-0.0527278678480485,1
2009-06-16,12.76,0.0456993344234635,1
2009-06-17,12.73,-0.0023538653473287,1
2009-06-18,12.68,-0.0039354635602353,1
2009-06-19,13.15,0.0363958096146936,1
2009-06-22,12.78,-0.0285403096743848,1
2009-06-23,12.85,0.0054623623918401,1
